person_id,person_name,role,division_id,hierarchy_type,user_email
P001,Aryan Maharaj,National Sales Manager,,Sales Hierarchy,aryan.maharaj@salesdemo.com
P002,Udant Dewan,National Sales Manager,,MDI Hierarchy,udant.dewan@salesdemo.com
P003,Gagan Sami,Regional/Zonal Sales Manager,10,Sales Hierarchy,gagan.sami@salesdemo.com
P004,Ayushman Chander,Territory/Area Sales Manager,10,Sales Hierarchy,ayushman.chander@salesdemo.com
P005,Viraj Tiwari,Territory/Area Sales Manager,10,Sales Hierarchy,viraj.tiwari@salesdemo.com
P006,Rushil Saini,Territory/Area Sales Manager,10,Sales Hierarchy,rushil.saini@salesdemo.com
P007,Saumya Mall,Regional/Zonal Sales Manager,10,MDI Hierarchy,saumya.mall@salesdemo.com
P008,Nathaniel Sami,Territory/Area Sales Manager,10,MDI Hierarchy,nathaniel.sami@salesdemo.com
P009,Arunima Dugal,Regional/Zonal Sales Manager,20,Sales Hierarchy,arunima.dugal@salesdemo.com
P010,Gayathri Chaudry,Territory/Area Sales Manager,20,Sales Hierarchy,gayathri.chaudry@salesdemo.com
P011,Lajita Chatterjee,Territory/Area Sales Manager,20,Sales Hierarchy,lajita.chatterjee@salesdemo.com
P012,Hemangini Lalla,Territory/Area Sales Manager,20,Sales Hierarchy,hemangini.lalla@salesdemo.com
P013,Tripti Yadav,Regional/Zonal Sales Manager,20,MDI Hierarchy,tripti.yadav@salesdemo.com
P014,Kritika Brar,Territory/Area Sales Manager,20,MDI Hierarchy,kritika.brar@salesdemo.com
P015,Janaki Handa,Regional/Zonal Sales Manager,30,Sales Hierarchy,janaki.handa@salesdemo.com
P016,Chakradev Kari,Territory/Area Sales Manager,30,Sales Hierarchy,chakradev.kari@salesdemo.com
P017,Fariq Kaul,Territory/Area Sales Manager,30,Sales Hierarchy,fariq.kaul@salesdemo.com
P018,Lajita Mall,Territory/Area Sales Manager,30,Sales Hierarchy,lajita.mall@salesdemo.com
P019,Janya Gaba,Regional/Zonal Sales Manager,30,MDI Hierarchy,janya.gaba@salesdemo.com
P020,Isha Kadakia,Territory/Area Sales Manager,30,MDI Hierarchy,isha.kadakia@salesdemo.com
P021,Ekbal Garg,Regional/Zonal Sales Manager,40,Sales Hierarchy,ekbal.garg@salesdemo.com
P022,Nihal Shere,Territory/Area Sales Manager,40,Sales Hierarchy,nihal.shere@salesdemo.com
P023,Anamika Kanda,Territory/Area Sales Manager,40,Sales Hierarchy,anamika.kanda@salesdemo.com
P024,Daksh Karnik,Territory/Area Sales Manager,40,Sales Hierarchy,daksh.karnik@salesdemo.com
P025,Diya Rattan,Regional/Zonal Sales Manager,40,MDI Hierarchy,diya.rattan@salesdemo.com
P026,Dominic Kakar,Territory/Area Sales Manager,40,MDI Hierarchy,dominic.kakar@salesdemo.com
P027,Simon Tata,Head Office,,All,simon.tata@salesdemo.com
P028,Tara Dhar,Head Office,,All,tara.dhar@salesdemo.com
P029,Liam Koshy,Head Office,,All,liam.koshy@salesdemo.com
P901,person6,HO,,ALL, Rhea.Menon@SALESDEMO.COM 
P902,Devansh Rathore,Territory/Area Sales Manager,10,Sales Hierarchy,
P903,Meher Bajaj,Territory/Area Sales Manager,10,Sales Hierarchy,not-an-email
